w0,w1,w2,w3,a0,a1,a2,a3,direction
190.0,220.0,210.0,180.0,0,0,109.0,8.0,1
190.0,210.0,210.0,190.0,0,2.0,109.0,0,1
200.0,210.0,200.0,190.0,0,2.0,99.0,0,2
210.0,210.0,190.0,190.0,0,2.0,89.0,0,2
220.0,210.0,180.0,190.0,0,2.0,79.0,0,2
230.0,210.0,170.0,190.0,0,2.0,69.0,0,2
240.0,210.0,160.0,190.0,0,2.0,59.0,0,2
250.0,210.0,150.0,190.0,0,2.0,49.0,0,2
260.0,210.0,140.0,190.0,0,2.0,39.0,0,2
270.0,210.0,130.0,190.0,0,2.0,29.0,0,2
280.0,210.0,120.0,190.0,0,2.0,19.0,0,2
290.0,210.0,110.0,190.0,0,2.0,9.0,0,2
300.0,210.0,100.0,190.0,46.0,0,0,103.0,2
300.0,200.0,100.0,200.0,46.0,0,0,93.0,1
300.0,190.0,100.0,210.0,46.0,0,0,83.0,1
300.0,180.0,100.0,220.0,46.0,0,0,73.0,1
300.0,170.0,100.0,230.0,46.0,0,0,63.0,1
300.0,160.0,100.0,240.0,46.0,0,0,53.0,1
300.0,150.0,100.0,250.0,46.0,0,0,43.0,1
300.0,140.0,100.0,260.0,46.0,0,0,33.0,1
300.0,130.0,100.0,270.0,46.0,0,0,23.0,1
300.0,120.0,100.0,280.0,46.0,0,0,13.0,1
300.0,110.0,100.0,290.0,46.0,0,0,3.0,1
290.0,110.0,110.0,290.0,36.0,0,0,3.0,0
280.0,110.0,120.0,290.0,26.0,0,0,3.0,0
270.0,110.0,130.0,290.0,16.0,0,0,3.0,0
260.0,110.0,140.0,290.0,0,232.0,34.0,0,0
260.0,120.0,140.0,280.0,0,222.0,34.0,0,3
260.0,130.0,140.0,270.0,0,212.0,34.0,0,3
260.0,140.0,140.0,260.0,0,202.0,34.0,0,3
260.0,150.0,140.0,250.0,0,192.0,34.0,0,3
260.0,160.0,140.0,240.0,0,182.0,34.0,0,3
260.0,170.0,140.0,230.0,0,172.0,34.0,0,3
260.0,180.0,140.0,220.0,0,162.0,34.0,0,3
260.0,190.0,140.0,210.0,0,152.0,34.0,0,3
260.0,200.0,140.0,200.0,0,142.0,34.0,0,3
260.0,210.0,140.0,190.0,0,132.0,34.0,0,3
260.0,220.0,140.0,180.0,0,122.0,34.0,0,3
260.0,230.0,140.0,170.0,0,112.0,34.0,0,3
260.0,240.0,140.0,160.0,0,102.0,34.0,0,3
260.0,250.0,140.0,150.0,0,92.0,34.0,0,3
260.0,260.0,140.0,140.0,0,82.0,34.0,0,3
260.0,270.0,140.0,130.0,0,72.0,34.0,0,3
260.0,280.0,140.0,120.0,0,62.0,34.0,0,3
260.0,290.0,140.0,110.0,0,52.0,34.0,0,3
260.0,300.0,140.0,100.0,0,42.0,34.0,0,3
260.0,310.0,140.0,90.0,0,32.0,34.0,0,3
260.0,320.0,140.0,80.0,0,22.0,34.0,0,3
260.0,330.0,140.0,70.0,0,12.0,34.0,0,3
260.0,340.0,140.0,60.0,0,2.0,34.0,0,3
270.0,340.0,130.0,60.0,0,2.0,24.0,0,2
280.0,340.0,120.0,60.0,0,2.0,14.0,0,2
290.0,340.0,110.0,60.0,0,0,39.0,277.0,2
290.0,330.0,110.0,70.0,0,0,39.0,267.0,1
